Smiles,pIC50
CC(C)N1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,8.15
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(CC5CC5)Cc5ccccc54)CC3)C2)cc1,8.15
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CC1CNC(=O)CO1,8.12
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,8.1
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(C5CCC5)Cc5ccccc54)CC3)C2)cc1,8.05
O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,8
C=CC(=O)Nc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,8
FC(F)Cc1cc2c(N3CCC4(CCN(Cc5ccc(N6CCOCC6)cc5)C4)C3)ncnc2s1,8
NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5cc(CC(F)(F)F)sc45)C3)C2)cc1,8
O=S(=O)(Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1)NCCO,8
CC(c1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1)S(N)(=O)=O,8
CN(CCO)c1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,8
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)CF)CC1,8
CNC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,7.96
CN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,7.96
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(CCN5CCOCC5)Cc5ccccc54)CC3)C2)cc1,7.96
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[C@@H](C)O,7.94
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(S(C)(=O)=O)CC1,7.89
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C)CC1,7.89
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C=O)CC1,7.89
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CCNCC1,7.85
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2Cc1cn[nH]c1,7.83
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCNCC1,7.82
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.77
O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,7.77
CC(=O)N1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,7.75
